Hour of day	Day	Device	Campaign state	Campaign	Budget	Status	Campaign Type	Campaign sub-type	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Converted clicks	Cost / converted click	Click conversion rate	View-through Conv.	Search Impr. share	Search Lost IS (rank)	Search Lost IS (budget)	Content Impr. share	Content Lost IS (rank)	Content Lost IS (budget)							
16	1/16/2015	Mobile devices with full browsers	Enabled	Audi	5	campaign budget constrained	Search Only	All features	0	4	0.00%	0	0	3.5	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
15	2/23/2015	Tablets with full browsers	paused	Vauxhall Corsa	4	campaign paused	Search Only	All features	0	3	0.00%	0	0	4	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
10	2/3/2015	Mobile devices with full browsers	paused	Vauxhall Corsa	4	campaign paused	Search Only	All features	0	3	0.00%	0	0	4	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
13	2/12/2015	Computers	paused	Vauxhall Corsa	4	campaign paused	Search Only	All features	0	7	0.00%	0	0	4.6	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
8	3/3/2015	Computers	paused	Vauxhall Corsa	4	campaign paused	Search Only	All features	0	1	0.00%	0	0	3	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
17	1/31/2015	Mobile devices with full browsers	paused	Vauxhall Corsa	4	campaign paused	Search Only	All features	0	5	0.00%	0	0	2.8	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
2	3/20/2015	Computers	paused	Vauxhall Corsa	4	campaign paused	Search Only	All features	0	1	0.00%	0	0	2	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
12	2/5/2015	Mobile devices with full browsers	paused	Vauxhall Corsa	4	campaign paused	Search Only	All features	0	1	0.00%	0	0	3	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
0	2/12/2015	Computers	paused	Vauxhall Corsa	4	campaign paused	Search Only	All features	0	1	0.00%	0	0	4	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
23	3/14/2015	Mobile devices with full browsers	paused	Vauxhall Corsa	4	campaign paused	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
22	3/29/2015	Computers	paused	Vauxhall Corsa	4	campaign paused	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0	< 10%	0.00%	> 90%	 --	 --	 --							
11	2/26/2015	Mobile devices with full browsers	paused	Vauxhall Corsa	4	campaign paused	Search Only	All features	0	6	0.00%	0	0	2.8	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
16	3/27/2015	Computers	paused	Vauxhall Corsa	4	campaign paused	Search Only	All features	1	3	33.33%	0.94	0.94	3	0	0	0.00%	0	60.00%	0.00%	40.00%	 --	 --	 --							
12	1/23/2015	Computers	paused	Vauxhall Corsa	4	campaign paused	Search Only	All features	0	1	0.00%	0	0	4	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
9	3/25/2015	Mobile devices with full browsers	paused	Vauxhall Corsa	4	campaign paused	Search Only	All features	0	1	0.00%	0	0	1	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
19	3/28/2015	Mobile devices with full browsers	Enabled	Peugeot	9.8	eligible	Search Only	All features	1	1	100.00%	1.18	1.18	1	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
22	1/19/2015	Mobile devices with full browsers	Enabled	Peugeot	9.8	eligible	Search Only	All features	0	2	0.00%	0	0	2.5	0	0	0.00%	0	100.00%	0.00%	0.00%	 --	 --	 --							
