Keyword state	Keyword	Campaign	Ad group	Status	Max. CPC	Match Type	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Quality score	Converted clicks	Cost / converted click	Click conversion rate	Click Assisted Conv.	Impr. Assisted Conv.	Search Impr. share	Search Exact match IS	Search Lost IS (rank)
enabled	"""car leasing for bad credit"""	Bad Credit Leasing	Bad Credit	eligible	1.2	Phrase	99	1044	9.48%	0.99	97.92	4.2	10	6	16.32	6.06%	1	11	49.29%	49.92%	36.31%
paused	"""car leasing in uk"""	Hippo Leasing	Hippo Leasing (Generic)	paused	0.98	Phrase	21	138	15.22%	0.85	17.9	2.3	9	0	0	0.00%	0	0	67.65%	52.75%	3.43%
enabled	leasing Mercedes Benz	Mercedes	Mercedes-Benz M	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	lease Citroen	CitroenC2	CitroenC2	campaign paused	0.45	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	scenic seat dynamique	GRANDE SCENIC	GRANDE SCENIC	campaign paused	0.65	Broad	0	0	0.00%	0	0	0	4	0	0	0.00%	0	0	 --	 --	 --
enabled	"""van lease peugeot"""	Vans	Peugeot Van (Partner)	campaign paused	auto: 2.78	Phrase	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	hippo vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	bmw sport	BMW	BMW 1series	campaign paused	0.67	Broad	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
paused	"""cheap car lease"""	Generic Car Leasing	Car leasing	paused	auto: 0.89	Phrase	104	544	19.12%	0.66	69.08	2	9	0	0	0.00%	0	0	< 10%	< 10%	0.04%
enabled	jaguar xf leasing	Jaguar	Jaguar Premium Luxury	campaign paused	0.45	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	Renault megane leasing	Renault Megane	Megane CC	campaign paused	0.55	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	bmw 116 leasing	BMW	BMW 1series	campaign paused	0.67	Broad	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
paused	"""car leasing with no deposit"""	No Deposit Deals	No Deposit Deals	paused	0.99	Phrase	119	490	24.29%	0.85	100.7	2	9	1	100.7	0.84%	0	4	98.00%	99.22%	2.00%
removed	"""lease audi a4"""	Audi	Audi A3	removed	 --	Phrase	1	103	0.97%	0.66	0.66	5	0	0	0	0.00%	0	0	47.91%	38.18%	52.09%
paused	"""leasing cheap golf"""	VW	VW Golf	campaign paused	0.87	Phrase	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	 +no +deposit +renault +clio +lease	Renault	Renault Clio	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
removed	"""audi a4 lease"""	Audi	Audi A3	removed	 --	Phrase	3	304	0.99%	0.82	2.47	4.7	0	0	0	0.00%	0	1	73.72%	65.22%	26.28%
enabled	leasing honda	Honda	Honda	campaign paused	0.69	Broad	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
paused	lease van	VW Transporter	VW Commercial	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	lease Volkswagen Tiguan	Volkswagen Tiguan	Volkswagen Tiguan	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	Peugeot lease	Peugeot 207	Peugeot 207	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	volkswagen van lease	VW Transporter	VW Caddy	campaign paused	0.59	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease golf"""	VW	VW Golf	campaign paused	0.87	Phrase	100	2885	3.47%	0.66	65.75	3.1	8	0	0	0.00%	0	2	86.17%	99.22%	13.83%
paused	frontier vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	lease Subaru	Subaru Impreza	Subaru Impreza	campaign paused	0.69	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	car lease no deposit	No Deposit Deals	No Deposit Deals	paused	0.99	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	leasing citroen c3	Citroen	Citroen C3	campaign paused	0.75	Broad	0	0	0.00%	0	0	0	3	0	0	0.00%	0	0	 --	 --	 --
paused	[leasing Toyota]	Toyota	Toyota Avensis	campaign paused	1.5	Exact	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	leasing Volkswagen Tiguan	Volkswagen Tiguan	Volkswagen Tiguan	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	"""leasing megane"""	Renault	Renault Megane	campaign paused	1	Phrase	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	car leasing quote	Personal Leasing Quotes	Quick Leasing Quote (Generic)	paused	0.98	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	vauxhall astra leasing	Vauxhall Astra (Petrol)	Vauxhall Astra Twin Top	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	"""Lease Toyota"""	Toyota	Toyota Avensis	campaign paused	1.25	Phrase	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	[lease range rover]	Range Rover	Range Rover Sport	campaign paused	0.5	Exact	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	scenic renault	GRANDE SCENIC	GRANDE SCENIC	campaign paused	0.65	Broad	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
enabled	lease alfa romeo	Alfa Romeo	Alfa Romeo Mito	campaign paused	0.45	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	"""no deposit van leasing"""	Vans	No Deposit Van Leasing	campaign paused	auto: 2.78	Phrase	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	Volvo XC	Volvo	Volvo XC90 D5	campaign paused	0.54	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	1st vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	hippo leasing	Hippo Leasing	Hippo Leasing (Generic)	eligible	0.98	Broad	3969	10313	38.49%	0.16	617.98	1	10	162	3.81	4.09%	47	55	78.28%	90.71%	5.14%
enabled	hippoleasing	Hippo Leasing	Hippo Leasing (Generic)	eligible	0.98	Broad	583	2343	24.88%	0.51	299.63	1.8	6	20	14.98	3.43%	6	9	88.88%	93.19%	2.85%
enabled	[corsa lease deal]	Vauxhall Corsa	Vauxhall Corsa (1.4 SXI)	campaign paused	1.3	Exact	22	292	7.53%	1.03	22.75	1.9	8	0	0	0.00%	0	2	75.84%	75.84%	1.56%
enabled	ex demo car leasing	Generic Car Leasing	Used Car Leasing	eligible	auto: 0.22	Broad	3	165	1.82%	0.3	0.89	4.8	8	0	0	0.00%	0	0	14.03%	32.71%	38.18%
enabled	Mercedes leasing	Mercedes	Mercedes-Benz M	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	citroen c3 leasing	Citroen	Citroen C3	campaign paused	0.75	Broad	0	0	0.00%	0	0	0	3	0	0	0.00%	0	0	 --	 --	 --
paused	no deposit corsa sxi	Vauxhall Corsa	Vauxhall Corsa (1.4 SXI)	campaign paused	0.99	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	company car lease	Generic Car Leasing	Car leasing	paused	auto: 0.89	Broad	57	1306	4.36%	0.72	40.83	3.5	8	0	0	0.00%	0	0	< 10%	< 10%	8.76%
paused	Volkswagen leasing	VW	VW Golf	campaign paused	1.25	Broad	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
