Keyword state	Keyword	Campaign	Ad group	Status	Max. CPC	Match Type	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Quality score	Converted clicks	Cost / converted click	Click conversion rate	Click Assisted Conv.	Impr. Assisted Conv.	Search Impr. share	Search Exact match IS	Search Lost IS (rank)
enabled	new renault grande scenic	GRANDE SCENIC	GRANDE SCENIC	campaign paused	0.65	Broad	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
paused	cheap car lease	New 2 You	New 2 You (Generic)	campaign paused	1	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	[range rover lease]	Range Rover	Range Rover Sport	campaign paused	0.5	Exact	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	best car lease	Generic Car Leasing	Car leasing	paused	auto: 0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	lease aston martin	Astin Martin	Aston Martin Vantage	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	range rover	Range Rover	Range Rover Sport	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	4	0	0	0.00%	0	0	 --	 --	 --
paused	 +ex +demo +peugeot +107	Peugeot	Peugeot 107	paused	0.79	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	"""vauxhall insignia lease"""	Vauxhall	Vauxhall Insignia (Petrol)	eligible	0.99	Phrase	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
paused	personal car leasing deals	Personal Leasing Quotes	Quick Leasing Quote (Generic)	paused	0.98	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	range rover lease	RangeRover	2.7 TDV6 S	campaign paused	0.55	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	"""vehicle leasing"""	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.99	Phrase	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	 +vauxhall +insignia +lease	Vauxhall	Vauxhall Insignia (Petrol)	paused	0.99	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
paused	"""car leasing uk"""	Hippo Leasing	Hippo Leasing (Generic)	paused	0.98	Phrase	3026	24720	12.24%	0.82	"2,481.11"	2	7	53	46.81	1.75%	11	27	64.16%	55.71%	2.35%
enabled	"""personal vehicle leasing"""	Personal Leasing Quotes	Quick Leasing Quote (Generic)	eligible	0.98	Phrase	487	2726	17.87%	0.8	390.4	1.5	8	12	32.53	2.46%	2	2	75.37%	72.35%	0.50%
enabled	car leasing quick	Bad Credit Leasing	Quick Cars	eligible	0.8	Broad	118	2976	3.97%	0.75	88.45	2.9	8	6	14.74	5.08%	0	5	48.69%	< 10%	31.74%
enabled	used car lease hire	Generic Car Leasing	Used Car Leasing	eligible	auto: 0.22	Broad	307	12157	2.53%	0.23	69.56	6	9	5	13.91	1.63%	0	19	13.70%	48.28%	62.01%
paused	lease	VW Transporter	VW Caddy	campaign paused	0.59	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	euro vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	"""personal lease deals"""	Personal Leasing Quotes	Quick Leasing Quote (Generic)	paused	0.98	Phrase	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
removed	car lease purchase	Generic Car Leasing	Car leasing	removed	 --	Broad	157	2872	5.47%	0.64	100.4	2.8	0	2	50.2	1.27%	1	3	11.31%	< 10%	2.74%
enabled	lease transporter	VW Transporter	VW Commercial	campaign paused	0.56	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	saab lease convertible	Saab	Saab Linear Convert	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
paused	"""uk car leasing"""	Generic Car Leasing	Car leasing	paused	auto: 1.09	Phrase	146	1906	7.66%	0.85	123.71	1.8	7	0	0	0.00%	0	2	32.56%	24.14%	1.13%
paused	"""lease ford focus"""	Ford	Ford Focus (1.6 TDCI)	campaign paused	0.89	Phrase	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	leasing porsche	Porsche	Porsche Boxster	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	no deposit focus lease	Ford	Ford Focus (1.6 TDCI)	campaign paused	1.75	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	Volvo XC D5	Volvo	Volvo XC90 D5	campaign paused	0.54	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	"""car lease with no deposit"""	No Deposit Deals	No Deposit Deals	eligible	0.99	Phrase	76	315	24.13%	0.84	63.9	1.6	10	3	21.3	3.95%	4	0	93.47%	89.39%	0.59%
enabled	used car leasing	New 2 You	New 2 You (Generic)	campaign paused	1	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	car allowance bad credit	Bad Credit Leasing	Bad Credit	paused	1.9	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	"""leasing nissan juke"""	Nissan	Nissan Duke	campaign paused	0.89	Phrase	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	"""lease credit bad"""	Bad Credit Leasing	Bad Credit	paused	1.55	Phrase	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	peugeot leasing 308	Peugeot 207	Peugeot 308	campaign paused	0.56	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	ex demo car lease	Bad Credit Leasing	Quick Cars	eligible	0.6	Broad	11	388	2.84%	0.6	6.56	3.4	6	0	0	0.00%	0	0	45.27%	36.84%	18.44%
enabled	acorn vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	cheap transporter	VW Transporter	VW Commercial	campaign paused	0.56	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	no deposit cars	No Deposit Deals	No Deposit Deals	paused	0.99	Broad	293	3452	8.49%	0.84	247.25	3.4	6	6	41.21	2.05%	0	2	31.73%	30.58%	13.27%
enabled	bad credit car leasing	Bad Credit Leasing	Bad Credit	eligible	1.2	Broad	1562	29700	5.26%	1.03	"1,607.76"	5.4	10	116	13.85	7.43%	22	115	28.87%	51.14%	63.15%
removed	car lease financing	Generic Car Leasing	Car leasing	removed	 --	Broad	2226	28618	7.78%	0.71	"1,577.96"	2.5	0	43	36.7	1.93%	5	22	24.62%	41.05%	3.79%
paused	select vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	leasing aston martin	Astin Martin	Aston Martin Vantage	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	lease range rover	RangeRover	3.6 TDV8 HSE	campaign paused	0.56	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
paused	car lease online	Generic Car Leasing	Car leasing	paused	auto: 0.89	Broad	21	321	6.54%	0.61	12.83	2.7	9	0	0	0.00%	0	1	< 10%	< 10%	0.56%
paused	[no deposit lease cars]	No Deposit Deals	No Deposit Deals	paused	0.99	Exact	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	transporter van	VW Transporter	VW Commercial	campaign paused	0.56	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	no deposit van leasing	Vans	Peugeot Van (Partner)	campaign paused	auto: 2.78	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	leasing fiat	Fiat Punto	Fiat Punto	paused	0.65	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease van with no deposit"""	Vans	No Deposit Van Leasing	campaign paused	auto: 2.78	Phrase	0	0	0.00%	0	0	0	4	0	0	0.00%	0	0	 --	 --	 --
enabled	"""lease fiat punto"""	Fiat Punto	Fiat Punto	eligible	0.69	Phrase	21	57	36.84%	0.46	9.67	1.7	8	0	0	0.00%	0	0	100.00%	100.00%	0.00%
enabled	[lease juke]	Nissan	Nissan Duke	campaign paused	0.89	Exact	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	lease transit van	Ford Transit	Ford Transit	campaign paused	1.12	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	[lease a hyundai i10]	Hyundai	Hyundai (i10)	campaign paused	0.99	Exact	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	[no deposit car leasing]	No Deposit Deals	No Deposit Deals	paused	0.99	Exact	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	[honda roadster]	Honda	Honda	campaign paused	0.69	Exact	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	 +poor +credit +car +lease	Bad Credit Leasing	Bad Credit	paused	0.99	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	lease Citroen C2	CitroenC2	CitroenC2	campaign paused	0.45	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	lease Volkswagen	VW Transporter	VW Commercial	campaign paused	0.56	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	car lease options	Generic Car Leasing	Car leasing	paused	auto: 0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	"""cheap leasing golf"""	VW	VW Golf	campaign paused	0.87	Phrase	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	jaguar xf	Jaguar	Jaguar Premium Luxury	campaign paused	0.45	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	hippo vehicle leasing	No Deposit Deals	No Deposit Deals	paused	0.99	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	quick car lease	Bad Credit Leasing	Quick Cars	Below first page bid (First page CPC : 0.98)	0.9	Broad	329	4196	7.84%	0.56	184.16	2.8	8	21	8.77	6.38%	7	12	31.95%	86.84%	61.18%
enabled	"""car lease bad credit"""	Bad Credit Leasing	Bad Credit	eligible	0.99	Phrase	141	1357	10.39%	0.98	138.12	4.2	10	10	13.81	7.09%	3	18	50.75%	51.44%	33.06%
removed	lease no deposit	No Deposit Deals	No Deposit Deals	removed	 --	Broad	63	554	11.37%	0.85	53.59	2.4	0	2	26.8	3.17%	0	0	67.03%	 --	23.20%
enabled	lex auto lease	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
enabled	renault scenic lease deal	Renault Grand Scenic	Renault Grand Scenic	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	contract car leasing uk	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	Citroen C2 lease	CitroenC2	CitroenC2	campaign paused	0.45	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	"""peugeot 107 lease"""	Peugeot	Peugeot 107	eligible	0.79	Phrase	22	294	7.48%	0.64	14.15	3.3	8	0	0	0.00%	0	0	97.35%	96.43%	2.65%
enabled	range rover leasing	RangeRover	3.6 TDV8 HSE	campaign paused	0.56	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	"""cheap van leasing"""	Vans	No Deposit Van Leasing	campaign paused	auto: 2.78	Phrase	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	no deposit lease vehicles	No Deposit Deals	No Deposit Deals	eligible	0.99	Broad	4	26	15.38%	0.86	3.42	1.3	9	0	0	0.00%	0	1	96.30%	 --	0.00%
enabled	applied vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	"""fiat punto leasing"""	Fiat Punto	Fiat Punto	eligible	0.89	Phrase	10	32	31.25%	0.75	7.5	1.8	8	1	7.5	10.00%	0	0	100.00%	100.00%	0.00%
enabled	"""zero deposit leasing"""	No Deposit Deals	No Deposit Deals	eligible	0.99	Phrase	21	122	17.21%	0.71	14.94	1.5	10	0	0	0.00%	1	1	96.83%	98.82%	0.79%
enabled	"""vauxhall corsa leasing"""	Vauxhall Corsa	Vauxhall Corsa (1.4 SXI)	campaign paused	1.3	Phrase	16	886	1.81%	1.05	16.75	3.6	6	0	0	0.00%	0	1	75.34%	63.27%	4.34%
enabled	"""leasing Volkswagen Golf"""	VW	VW Golf	campaign paused	1	Phrase	47	1276	3.68%	0.77	36.16	4.3	7	0	0	0.00%	0	0	77.10%	69.48%	22.90%
enabled	no deposit vaux corsa	Vauxhall Corsa	Vauxhall Corsa (1.4 SXI)	campaign paused	0.99	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	leasing Fiat Grande Punto	Fiat Punto	Fiat Punto	paused	0.65	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
paused	diesel Ford Focus Contract Hire	Ford	Ford Focus (1.6 TDCI)	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	punto grande leasing	Fiat Punto	Fiat Punto	paused	0.65	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
paused	"""cheap car leasing deals"""	No Deposit Deals	No Deposit Deals	paused	0.99	Phrase	65	217	29.95%	0.85	55.4	1.5	8	1	55.4	1.54%	0	0	62.00%	55.63%	0.00%
enabled	vehicle leasing online quote	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	Fiat Grande Punto leasing	Fiat Punto	Fiat Punto	paused	0.65	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	"""Renault Megane leasing"""	Renault	Renault Megane	campaign paused	1	Phrase	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
paused	Renault megane convertible deals	Renault Megane	Megane CC	campaign paused	0.55	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	peugeot 308 lease	Peugeot 207	Peugeot 308	campaign paused	0.56	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	"""poor credit car leasing"""	Bad Credit Leasing	Bad Credit	paused	0.99	Phrase	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	Chrysler Sebring leasing	Chrysler Sebring	Chrysler	campaign paused	0.68	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	chev matiz	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	"""ka lease"""	Ford KA	KA (1.2 Edge)	campaign paused	1	Phrase	8	122	6.56%	0.71	5.71	1.8	8	0	0	0.00%	0	0	88.41%	94.44%	10.87%
paused	business car leasing no deposit	No Deposit Deals	No Deposit Deals	paused	0.99	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	no deposit corsa lease	Vauxhall Corsa	Corsa No deposit	campaign paused	0.99	Broad	0	1	0.00%	0	0	2	10	0	0	0.00%	0	0	< 10%	 --	0.00%
enabled	porsche lease	Porsche	Porsche Boxster	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	"""mini leasing"""	Mini	Mini Cooper	campaign paused	1.5	Phrase	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	"""uk vehicle leasing"""	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Phrase	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	leasing Mercedes	Mercedes	Mercedes-Benz M	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	 +bmw +1 +series +diesel +lease	BMW	BMW 1series	campaign paused	1.3	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	no deposit Peugeot lease	Peugeot	Peugeot 107	eligible	1.2	Broad	82	2145	3.82%	0.95	77.87	3.6	6	1	77.87	1.22%	0	3	83.91%	100.00%	16.09%
enabled	"""lease Toyota avensis"""	Toyota	Toyota Avensis	campaign paused	0.89	Phrase	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	a vehicle lease	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	lease a car	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	lease cars bad credit	Bad Credit Leasing	Bad Credit	eligible	1.35	Broad	1430	16098	8.88%	1.13	"1,616.48"	3.6	10	105	15.4	7.34%	25	122	65.75%	45.63%	21.33%
enabled	"""lease car bad credit"""	Bad Credit Leasing	Bad Credit	eligible	1.3	Phrase	6	55	10.91%	1.18	7.09	3.7	10	0	0	0.00%	0	0	34.59%	37.38%	15.09%
enabled	"""0 deposit lease cars"""	No Deposit Deals	No Deposit Deals	eligible	0.99	Phrase	26	157	16.56%	0.84	21.75	1.5	9	1	21.75	3.85%	0	0	90.75%	90.51%	0.58%
enabled	Quick delivery car leasing	Bad Credit Leasing	Quick Cars	Below first page bid (First page CPC : 1.20)	0.9	Broad	167	2498	6.69%	0.61	102.44	2.7	8	6	17.07	3.59%	4	2	31.39%	 --	41.66%
paused	"""personal vehicle leasing"""	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Phrase	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	vw caddy lease	VW Transporter	VW Caddy	campaign paused	0.59	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	bmw 1 series	BMW	BMW 1series	campaign paused	0.67	Broad	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
paused	 +bad +credit +car +allowance	Bad Credit Leasing	Bad Credit	paused	0.99	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	used car leases	Generic Car Leasing	Used Car Leasing	eligible	auto: 0.22	Broad	212	8608	2.46%	0.26	55.74	5.4	10	4	13.94	1.89%	1	4	27.83%	45.00%	60.99%
paused	personal vehicle leasing uk	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	insignia vauxhall	Vauxhall	Vauxhall Insignia (Petrol)	paused	0.59	Broad	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
paused	lease mini cooper	Mini	Mini Cooper	campaign paused	0.75	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	Citroen lease	CitroenC2	CitroenC2	campaign paused	0.45	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	leasing cars with bad credit	Bad Credit Leasing	Bad Credit	eligible	0.99	Broad	863	12446	6.93%	0.97	837.8	3.8	10	50	16.76	5.79%	8	77	61.38%	58.81%	33.62%
enabled	"""leasing peugeot 107"""	Peugeot	Peugeot 107	eligible	0.79	Phrase	0	21	0.00%	0	0	3.4	6	0	0	0.00%	0	0	100.00%	100.00%	0.00%
enabled	used cars leasing	Generic Car Leasing	Used Car Leasing	eligible	auto: 0.22	Broad	5	51	9.80%	0.25	1.27	5	10	0	0	0.00%	0	0	< 10%	62.07%	1.10%
paused	"""car leasing deals uk"""	Hippo Leasing	Hippo Leasing (Generic)	paused	0.98	Phrase	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	van leasing no deposit	Vans	Peugeot Van (Partner)	campaign paused	auto: 2.78	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	no deposit Peugeot leasing	Peugeot	Peugeot 107	low search volume	0.79	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	"""audi a3 leasing"""	Audi	Audi A3	eligible	0.99	Phrase	12	426	2.82%	0.87	10.42	4.9	6	0	0	0.00%	0	0	75.13%	66.23%	15.17%
paused	Renault Megane dynamique CC	Renault	Renault Megane	campaign paused	1	Broad	0	0	0.00%	0	0	0	3	0	0	0.00%	0	0	 --	 --	 --
enabled	volvo lease	Volvo	Volvo XC90 D5	campaign paused	0.54	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	Mitsubishi Shogan lease	Mitsubishi	Mitsubishi Shogan	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	5	0	0	0.00%	0	0	 --	 --	 --
enabled	"""hyundai i10 specials"""	Hyundai	Hyundai (i10)	campaign paused	0.99	Phrase	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	vehicle leasing offers	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	 +no +deposit +bmw +1 +series +lease	BMW	BMW 1series	campaign paused	0.67	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	fiat leasing	Fiat Punto	Fiat Punto	paused	0.89	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	cheap corsa leasing	Vauxhall Corsa	Vauxhall Corsa (1.4 SXI)	campaign paused	0.99	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
enabled	vauxhall astra twin top	Vauxhall Astra (Petrol)	Vauxhall Astra Twin Top	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	online vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	lease Hyundai	Hyundai	Hyundia i30 (1.4 Active)	campaign paused	0.8	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	vauxhall corsa sxi	Vauxhall Corsa	Vauxhall Corsa (1.4 SXI)	campaign paused	0.99	Broad	0	0	0.00%	0	0	0	3	0	0	0.00%	0	0	 --	 --	 --
enabled	207 Lease Peugeot	Peugeot 207	Peugeot 207	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	lease volkswagen vans	VW Transporter	VW Caddy	campaign paused	0.59	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
paused	"""leasing car quote"""	Personal Leasing Quotes	Quick Leasing Quote (Generic)	paused	0.98	Phrase	0	0	0.00%	0	0	0	8	0	0	0.00%	0	0	 --	 --	 --
enabled	[van lease no deposit]	Vans	No Deposit Van Leasing	campaign paused	auto: 2.78	Exact	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	car and vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	6	0	0	0.00%	0	0	 --	 --	 --
paused	[buy range rover]	Range Rover	Range Rover Sport	campaign paused	0.5	Exact	0	0	0.00%	0	0	0	4	0	0	0.00%	0	0	 --	 --	 --
enabled	peugeot 308	Peugeot 207	Peugeot 308	campaign paused	0.56	Broad	0	0	0.00%	0	0	0	4	0	0	0.00%	0	0	 --	 --	 --
enabled	Shogan lease	Mitsubishi	Mitsubishi Shogan	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	4	0	0	0.00%	0	0	 --	 --	 --
enabled	vw caddy	VW Transporter	VW Caddy	campaign paused	0.59	Broad	0	0	0.00%	0	0	0	7	0	0	0.00%	0	0	 --	 --	 --
enabled	lease range rover	RangeRover	2.7 TDV6 HSE	campaign paused	0.55	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	Leasing jaguar xf	Jaguar	Jaguar Premium Luxury	campaign paused	0.45	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	"""leasing golf"""	VW	VW Golf	campaign paused	0.87	Phrase	17	627	2.71%	0.66	11.21	3.5	7	2	5.6	11.76%	0	0	64.37%	95.08%	35.63%
paused	Ford Focus 1.6 TDCI Lease	Ford	Ford Focus (1.6 TDCI)	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	3	0	0	0.00%	0	0	 --	 --	 --
paused	business lease cars no deposit	No Deposit Deals	No Deposit Deals	paused	0.99	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
paused	personal car lease offers	Personal Leasing Quotes	Quick Leasing Quote (Generic)	paused	0.98	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	convertable astra lease	Vauxhall Astra (Petrol)	Vauxhall Astra Twin Top	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
paused	new vehicle leasing	Generic Vehicle Leasing	Vehicle Leasing	campaign paused	0.89	Broad	0	0	0.00%	0	0	0	10	0	0	0.00%	0	0	 --	 --	 --
enabled	transporter lease	VW Transporter	VW Commercial	campaign paused	0.56	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	convertible saab lease	Saab	Saab Linear Convert	campaign paused	0.5	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
paused	one year car lease	Generic Car Leasing	Car leasing	paused	auto: 0.89	Broad	0	0	0.00%	0	0	0	9	0	0	0.00%	0	0	 --	 --	 --
enabled	used car for lease	Generic Car Leasing	Used Car Leasing	eligible	auto: 0.22	Broad	120	3931	3.05%	0.29	34.35	5.1	9	1	34.35	0.83%	0	2	21.63%	45.90%	69.85%
enabled	"""leasing ford ka"""	Ford KA	KA (1.2 Edge)	campaign paused	1	Phrase	2	31	6.45%	0.89	1.78	4.6	6	0	0	0.00%	0	0	68.89%	94.74%	31.11%
enabled	"""lease audi a3"""	Audi	Audi A3	eligible	0.79	Phrase	56	1463	3.83%	0.65	36.25	4.5	6	1	36.25	1.79%	0	0	72.43%	74.26%	22.57%
