Ad state	Ad	Description line 1	Description line 2	Display URL	Destination URL	Final URL	Mobile final URL	Tracking template	Custom parameter	Campaign	Ad group	Status	Labels	Campaign Type	Campaign sub-type	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Converted clicks	Cost / converted click	Click conversion rate	View-through Conv.
removed	Zero Deposit Leasing	Cars from £90 p/m. 7 Day Delivery.	Quick Quote Online Today!	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-no-deposit-lease-cars					No Deposit Deals	No Deposit Deals	removed	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	VauxhalInsignia £164pm	Brand New 1.8i 16V Exclusiv 5dr	Special Online Offer Now in Stock	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-lease-cars/vauxhall/insignia-hatchback-1.8i-16v-exclusiv-5dr-468877					Vauxhall	Vauxhall Insignia (Petrol)	removed	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	Hyundiai30 £128 pm	HyundaiI30 Hatch 1.4 Classic 5dr	In Stock Delivery in 7 Days	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-lease-cars/hyundai/i30-hatchback-1.4-classic-5dr-555360					Hyundai	Hyundia i30 (1.4 Active)	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
enabled	Van Leasing ZERO deposit	"Full range in stock, Unlim Mileage"	Own the van at the end of the lease	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-lease-vans					Vans	No Deposit Van Leasing	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
enabled	Lease FordTransit £269	350 LWB Diesel Fwd Medium Roof Van	"Zero deposit, unlim mileage"	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-lease-vans/ford/transit-350-lwb-diesel-fwd-medium-roof-van-tdci-115ps-969930					Ford Transit	Ford Transit	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
enabled	Car Leasing From £69	Used Car Leasing from £69p/m.	View online & get a quick quote!	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/new2you-cars					New 2 You	New 2 You (Generic)	campaign paused	 --	Search Only	Standard	0	0	0.00%	0	0	0	0	0	0.00%	0
enabled	Porsche Boxster Lease-	"£645.66- In stock, 7 day delivery."	"Enquire today,no deposit available."	www.hippoleasing.co.uk/	http://www.hippoleasing.co.uk/ex-demo-lease-cars/porsche/boxster-cabriolet/boxster-roadster-27-2dr-pdk-6694757					Porsche	Porsche Boxster	campaign paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	Lease a car no deposit	Cars from £80pm with no deposit	"All In Stock, delivery in days."	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/search?mode=EDND&vt=cars					No Deposit Deals	No Deposit Deals	removed	 --	Search Only	All features	29	189	15.34%	0.88	25.46	2.3	1	25.46	3.45%	0
enabled	No Deposit Corsa £123pm	"Lease 1.2 ecoFLEX 5dr In Stock,"	"Delivery in days.Alloys, Start Stop"	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-no-deposit-lease-cars/vauxhall/corsa-hatchback/corsa-hatchback-12-ecoflex-exclusiv-5dr-start-stop-20485143					Vauxhall Corsa	Corsa No deposit	campaign paused	 --	Search Only	All features	228	1781	12.80%	0.66	149.92	2.5	3	49.97	1.32%	0
removed	FordKA Edge 1.2 £129pm	FordKa 1.2 Titanium 3dr only £129pm	in stock now delivery in days	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-lease-cars/ford/ka-hatchback/ka-hatchback-12-titanium-3dr-11789856					Ford KA	KA (1.2 Edge)	campaign paused	 --	Search Only	All features	165	4995	3.30%	0.81	134.24	4.3	1	134.24	0.61%	0
removed	AudiA3 Hatch £250pm	Ex Demo Diesel 1.6 TDI Sport 5dr	"Air Con, ABS, CD, In Stock Now"	www.hippoleasing.co.uk		http://www.hippoleasing.co.uk/personal-lease-cars/audi/a3-hatchback/a3-diesel-sportback-16-tdi-sport-5dr-6968256				Audi	Audi A3	removed	 --	Search Only	All features	9	315	2.86%	0.86	7.74	3.1	0	0	0.00%	0
removed	Ad name: Modular design ad created 12/6/13; 468 x 60;			hippoleasing.co.uk	http://hippoleasing.co.uk					Remarketing	Remarketing	removed	 --	Display Only	Remarketing	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	VauxhallInsignia £149pm	Diesel Hatch Special Offer SRi	"160 BHP, Air Con, CD, Auto, Alloys"	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-lease-cars/vauxhall/insignia-diesel-hatchback-2.0-cdti-sri-160-5dr-auto-776626					Vauxhall	Vauxhall Insignia (Petrol)	removed	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
removed	Lease Vaux-Insignia £154	Diesel Hatch 2.0 CDTi SRi [160]	"Special Offer Air Con, CD, Alloys"	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-lease-cars/vauxhall/insignia-diesel-hatchback-2.0-cdti-sri-160-5dr-776632					Vauxhall	Vauxhall Insignia (Petrol)	removed	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
paused	VauxhallInsignia £164pm	Diesel 2.0 CDTi SE 5dr Auto	"Spcial offer, Alloys, CD, Air Con"	www.hippoleasing.co.uk	http://www.hippoleasing.co.uk/ex-demo-lease-cars/vauxhall/insignia-diesel-hatchback-2.0-cdti-sri-160-5dr-969962					Vauxhall	Vauxhall Insignia (Petrol)	paused	 --	Search Only	All features	0	0	0.00%	0	0	0	0	0	0.00%	0
