Match Type	Search term	Added/Excluded	Campaign	Ad group	Keyword	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Converted clicks	Cost / converted click	Click conversion rate
broad	contract car hire for bad crdit	None	Bad Credit Leasing	Bad Credit	lease car bad credit	1	1	100.00%	1.16	1.16	1	0	0	0.00%
broad	no deposit new vauxhall	None	No Deposit Deals	No Deposit Deals	no deposit cars	1	1	100.00%	0.92	0.92	3	0	0	0.00%
broad	pcp car finance bad credit	None	Bad Credit Leasing	Bad Credit	lease car bad credit	2	10	20.00%	0.88	1.75	5.7	0	0	0.00%
broad	car leasing uk deals	None	Generic Car Leasing	Used Car Leasing	used car leasing deals	1	7	14.29%	0.43	0.43	8	0	0	0.00%
phrase	car leasing bad credit no deposithertfordshire	None	Bad Credit Leasing	Bad Credit	"""car leasing bad credit"""	1	3	33.33%	1.16	1.16	3.3	0	0	0.00%
broad	lease with poor credit	None	Bad Credit Leasing	Bad Credit	lease cars bad credit	1	1	100.00%	1.19	1.19	3	0	0	0.00%
broad	0 deposit personal leasing	None	No Deposit Deals	No Deposit Deals	Leasing no deposit	1	1	100.00%	0.44	0.44	1	0	0	0.00%
exact	car lease companies	Added	Generic Car Leasing	Car leasing	"""car lease companies"""	13	165	7.88%	0.65	8.48	2.7	0	0	0.00%
phrase (close variant)	car leasing vw golf	None	VW	VW Golf	"""leasing Volkswagen Golf"""	1	14	7.14%	0.85	0.85	4.3	0	0	0.00%
phrase (close variant)	3 month car lease uk	None	Hippo Leasing	Hippo Leasing (Generic)	"""car leasing uk"""	11	78	14.10%	0.76	8.39	1.9	0	0	0.00%
broad	privatevlease hire bad credit	None	Bad Credit Leasing	Bad Credit	lease car bad credit	1	1	100.00%	1.17	1.17	2	0	0	0.00%
broad	carlease	None	No Deposit Deals	No Deposit Deals	cheap car leasing deals	3	9	33.33%	0.7	2.09	2.7	0	0	0.00%
broad	car lease scotland no credit check	None	Bad Credit Leasing	Bad Credit	leasing cars with bad credit	2	7	28.57%	0.94	1.89	2.6	0	0	0.00%
broad	best rate car leasing in glasgow no deposit	None	No Deposit Deals	No Deposit Deals	lease a car no deposit	1	5	20.00%	0.55	0.55	1.4	0	0	0.00%
broad	cheap personal car leasing deals no deposit	None	No Deposit Deals	No Deposit Deals	lease a car no deposit	37	199	18.59%	0.52	19.3	3.3	0	0	0.00%
broad	monthly car lease	None	Personal Leasing Quotes	Quick Leasing Quote (Generic)	car leasing deals personal	1	1	100.00%	0.97	0.97	1	0	0	0.00%
broad	short term car lease	None	Generic Car Leasing	Used Car Leasing	used car lease deals	5	17	29.41%	0.21	1.07	4.9	0	0	0.00%
